"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","lon","lat"
"mint","33.62336","33.32568","33.02055","33.94011","34.12720","34.23934","34.24986","33.30028","33.77812","33.67507","34.10447","35.10747","34.18258","34.65994","34.02092","34.22219","34.08425","34.62760","33.98301","33.85686","33.75317","34.10889","34.00121","34.92747","33.84396","33.35699","34.14411","35.36438","34.93616","33.72650","35.12219","33.15789","34.33844","34.32235","34.82844","33.99311","32.71896","33.72770","34.68154","34.24753","34.67871","36.02521","34.85234","35.69307","35.37143","126.65","-14.3"
"mint.1","32.69510","31.25447","32.14505","32.44164","32.34725","33.06590","33.53740","32.13644","32.04219","32.61421","33.34971","33.69890","33.16301","33.99317","33.40301","33.78082","33.41671","34.33634","33.10548","32.62384","32.71507","33.44399","32.65096","34.14890","33.13068","31.58934","32.15589","33.20767","33.92466","32.91038","34.58603","32.64274","33.01129","33.31503","33.54187","34.00055","31.54356","32.29016","34.28356","33.72110","33.60525","34.76181","33.60521","34.53288","36.67415","127.66","-18.23"
"mint.2","32.03301","31.30956","31.97315","31.14247","32.07014","32.60082","32.38493","32.14877","31.91464","32.01694","31.86822","31.34658","32.02904","33.08087","32.41753","32.68000","31.53836","32.09699","31.55726","32.67397","32.13808","32.31230","31.33918","32.62110","32.10027","31.03388","31.53425","32.82466","32.21425","31.56202","32.36301","31.95781","32.27671","32.57568","32.72164","33.00274","31.97288","32.66202","32.59781","33.07562","33.04027","33.33342","32.94215","32.30495","34.26067","122.24","-17.95"
"mint.3","32.63072","32.76873","33.60000","32.42830","33.90904","33.95378","33.43410","33.57961","33.69616","33.54617","33.70219","33.11068","33.36603","33.83333","32.65427","34.18986","33.73726","33.11831","32.99091","34.55781","32.84603","34.16202","32.66247","33.86575","32.56356","32.25464","32.56438","34.46685","33.80603","33.95410","34.05260","33.91699","33.74466","33.88552","34.10247","33.97692","32.48658","33.36896","33.46740","34.80438","34.23333","34.44774","33.70499","34.30446","35.78446","118.63","-20.37"
"mint.4","33.63562","34.75769","35.60493","33.84174","35.49171","35.29587","35.04370","34.38880","34.76955","35.55838","35.48639","34.77784","34.73901","34.80601","34.53233","35.49644","35.80301","34.60628","34.27781","35.53840","33.70110","35.79708","35.18605","35.59560","34.06510","33.45843","34.08864","35.96094","35.56291","34.92705","36.29863","34.69260","36.10712","36.08105","35.60138","35.44478","34.07685","35.01346","35.34888","36.07527","36.08343","36.50714","35.43918","35.91105","38.96225","119.75","-21.18"
"mint.5","30.04412","31.75492","32.11288","31.27589","31.93049","30.92378","31.92575","31.84274","32.31671","31.50546","31.89699","31.39288","31.41425","32.45410","31.55973","31.34493","32.18904","30.52623","31.32164","33.07342","30.83973","32.25656","31.58740","31.79615","31.14615","31.10389","31.29670","32.39753","32.55699","32.09617","32.24466","32.12630","32.50411","31.76694","32.74822","32.63507","31.72263","32.60164","32.32384","32.38849","31.86077","31.96915","32.67458","32.55331","36.64430","114.1","-22.24"
"mint.6","30.43279","31.74027","33.47342","31.12085","32.93760","32.59553","32.49397","31.65671","33.03068","32.00082","33.59123","33.09151","33.18493","32.94804","32.42280","33.07616","33.53589","32.02678","32.41534","33.88164","31.59836","34.15109","32.19863","33.68986","31.93490","31.22155","32.08407","34.19397","33.24353","32.81524","34.44466","32.18992","34.23140","33.48066","33.48733","34.07534","32.21370","33.11448","33.44164","34.21726","34.13794","33.88388","33.45882","33.97473","37.92133","118.34","-22.24"
"mint.7","26.47614","28.29836","28.19178","28.06247","27.27014","27.45273","27.52356","27.82164","28.00767","27.66393","27.78237","27.25315","27.98411","29.03005","27.98767","27.35233","27.62904","26.95479","27.15096","29.04082","28.16712","28.74044","28.09501","28.34575","28.42369","28.57699","28.17123","28.16548","28.02466","27.41120","27.28329","28.43753","27.97342","28.03333","28.48301","28.35289","28.57233","28.92951","28.83874","28.85370","28.73297","27.49780","28.26243","27.93816","30.86174","113.67","-24.89"
"mint.8","25.68984","29.17131","30.19478","28.67425","29.32192","29.04481","29.13342","28.83616","29.75014","28.01219","28.44724","27.24172","27.75315","28.87123","28.11315","28.54959","29.89370","27.24508","28.26877","30.43616","27.73077","29.18115","28.62188","29.50575","28.78022","27.95246","28.63471","30.14877","29.49096","29.07432","30.26521","29.22110","30.14795","29.59290","30.10959","30.12384","28.68466","29.35027","30.04795","30.56493","29.97940","29.29144","30.01950","30.22507","35.21409","118.54","-26.61"
"mint.9","24.60915","28.26536","28.57079","27.38166","27.65661","27.46240","26.90812","27.54986","27.68343","26.54543","27.77226","26.26579","27.62590","26.83694","26.95000","25.83805","27.78904","24.03529","26.70868","28.58196","26.94551","28.29669","27.70877","28.10000","27.83901","27.39836","27.31123","28.42995","28.03644","27.96822","27.54575","28.38039","28.33510","27.81421","28.73956","28.89413","27.97123","28.49016","28.50733","28.92407","28.63917","26.96953","28.39821","28.08839","33.07351","116.02","-29.2"
"mint.10","23.35629","26.51731","26.53691","25.77534","25.88022","25.78898","24.99446","25.63444","25.83967","24.46077","25.88877","24.73464","25.86954","25.76877","25.17069","25.13127","26.15342","24.75769","25.29582","27.17521","25.30909","26.23251","26.12521","26.29697","25.87445","25.66557","25.50110","26.64603","26.45068","26.17596","25.78740","26.46932","26.27863","25.78962","26.49644","26.79945","26.15068","26.51230","26.78819","27.11160","26.74329","25.14262","26.65014","26.35507","30.93907","116.67","-30.28"
"mint.11","23.87582","25.91377","25.76740","25.80712","25.11956","25.21694","25.56767","25.39945","26.08027","25.18361","25.69452","24.47315","25.49288","26.23169","25.82329","24.93260","25.42384","25.11940","24.84192","26.61233","25.95068","26.47049","25.80659","26.01868","26.25726","26.78169","25.98379","26.22192","25.84329","25.82732","25.15644","26.85014","26.06849","26.19973","26.54384","26.86055","27.26685","27.53552","27.23342","27.13918","27.29644","25.64208","27.02320","26.26611","29.61208","114.7","-28.8"
"mint.12","23.10490","25.24536","25.34548","25.41096","24.50904","24.37049","24.28247","24.75151","25.43178","24.33907","25.06027","23.77562","24.94164","25.11421","24.58301","23.73534","24.71370","24.03060","24.22575","25.62055","24.83918","25.22650","25.14959","25.20603","25.58329","25.19153","24.80247","25.19918","25.22110","25.18388","24.14000","25.37479","24.92082","24.88194","25.50110","25.98137","26.01534","25.66230","25.71918","25.63836","25.94822","24.36448","25.28685","25.04877","28.56490","115.98","-31.93"
"mint.13","19.03993","20.09478","19.67541","19.92685","19.50438","19.33836","19.01433","19.68603","20.42747","19.84294","19.75113","18.98767","19.46274","19.72186","20.00192","19.25507","19.56667","19.54918","19.20912","20.14116","19.74266","20.18403","19.79359","19.71479","20.43096","20.30742","19.62287","19.69863","19.88027","19.87077","19.38822","20.04055","20.01205","20.13825","20.07383","20.53149","21.21436","21.12705","20.74932","20.68575","20.62253","19.67978","19.98220","20.09643","21.44503","115.14","-34.37"
"mint.14","20.25935","21.99749","22.19861","22.41282","21.66394","21.39778","21.42635","21.59144","22.27041","21.18798","21.81479","20.90169","22.26399","22.05879","21.54408","21.01412","21.71818","21.07459","20.91173","22.71507","21.99365","21.92335","22.17107","22.09397","22.40440","22.18169","21.75644","22.13370","22.34066","22.50574","21.44137","22.48849","22.14603","22.00738","22.45068","22.96685","22.80575","22.73822","22.42222","22.67827","23.05385","21.45479","22.06356","22.31851","25.56301","116.13","-33.95"
"mint.15","20.25588","21.54044","21.65425","21.69781","21.20603","21.60546","20.96082","21.68548","22.04521","20.99372","21.86548","20.76356","21.04767","21.47644","21.27507","20.86521","21.70877","20.56667","21.12044","22.21151","21.32493","21.58169","21.57665","21.96932","21.85890","21.49973","21.34148","22.00027","21.83479","21.63681","21.71534","22.09671","21.96000","21.56749","21.84986","22.39342","22.56319","22.72411","22.42904","22.67562","22.46548","21.46566","21.91851","22.10776","24.00604","121.89","-33.83"
"mint.16","18.85359","20.14016","20.05027","20.29699","19.52603","19.56311","19.61123","19.92712","20.73397","20.01967","19.72157","19.06271","19.95699","19.96940","20.02164","19.28959","20.15699","19.44727","19.43671","20.77973","19.89233","20.01858","20.15562","20.02027","20.32247","20.44617","19.79836","20.15165","20.36384","20.16011","19.68137","20.34274","20.29615","19.86749","20.22143","20.44849","20.81068","21.51096","21.07699","21.28466","21.23288","20.07500","20.57326","20.75939","22.50000","117.82","-34.94"
"mint.17","22.91705","25.65495","25.98932","25.23923","25.30742","25.58087","24.26548","25.20658","25.54904","24.01066","25.28000","24.12410","25.24575","25.04617","24.80658","24.41288","25.88575","24.02104","24.80466","26.56356","24.76082","25.46466","25.50137","25.87555","25.47679","25.37732","24.95934","26.13011","25.52822","25.68361","25.11261","25.40784","25.89022","25.40424","25.92767","26.57333","25.87184","26.16648","26.43646","26.71778","26.20424","24.71291","25.76264","25.77227","29.88867","118.28","-31.48"
