"Postcode","Age Group","Number of People"
3000,"0_4",733
3000,"5_14",479
3000,"15_19",3559
3000,"20_24",11897
3000,"25_34",13736
3000,"35_44",3570
3000,"45_54",1754
3000,"55_64",1262
3000,"65_74",709
3000,"75_84",198
3002,"0_4",152
3002,"5_14",145
3002,"15_19",91
3002,"20_24",343
3002,"25_34",1407
3002,"35_44",719
3002,"45_54",571
3002,"55_64",664
3002,"65_74",546
3002,"75_84",181
3003,"0_4",182
3003,"5_14",209
3003,"15_19",192
3003,"20_24",913
3003,"25_34",2189
3003,"35_44",837
3003,"45_54",486
3003,"55_64",264
3003,"65_74",160
3003,"75_84",52
3004,"0_4",284
3004,"5_14",280
3004,"15_19",261
3004,"20_24",818
3004,"25_34",2795
3004,"35_44",1507
3004,"45_54",968
3004,"55_64",949
3004,"65_74",861
3004,"75_84",340
3005,"0_4",27
3005,"5_14",19
3005,"15_19",20
3005,"20_24",58
3005,"25_34",179
3005,"35_44",90
3005,"45_54",67
3005,"55_64",38
3005,"65_74",26
3005,"75_84",5
3006,"0_4",579
3006,"5_14",326
3006,"15_19",815
3006,"20_24",3215
3006,"25_34",7599
3006,"35_44",2727
3006,"45_54",1428
3006,"55_64",1146
3006,"65_74",710
3006,"75_84",219
3008,"0_4",528
3008,"5_14",217
3008,"15_19",426
3008,"20_24",1512
3008,"25_34",3976
3008,"35_44",1445
3008,"45_54",1005
3008,"55_64",789
3008,"65_74",425
3008,"75_84",96
3010,"0_4",4
3010,"5_14",5
3010,"15_19",752
3010,"20_24",662
3010,"25_34",111
3010,"35_44",14
3010,"45_54",17
3010,"55_64",21
3010,"65_74",13
3010,"75_84",0
3011,"0_4",1347
3011,"5_14",1338
3011,"15_19",831
3011,"20_24",2285
3011,"25_34",6025
3011,"35_44",3592
3011,"45_54",2272
3011,"55_64",1734
3011,"65_74",966
3011,"75_84",681
3012,"0_4",1988
3012,"5_14",2463
3012,"15_19",1065
3012,"20_24",2116
3012,"25_34",6128
3012,"35_44",4600
3012,"45_54",3072
3012,"55_64",2221
3012,"65_74",1261
3012,"75_84",902
3013,"0_4",1152
3013,"5_14",1672
3013,"15_19",604
3013,"20_24",793
3013,"25_34",2699
3013,"35_44",2999
3013,"45_54",2148
3013,"55_64",1297
3013,"65_74",714
3013,"75_84",573
3015,"0_4",1455
3015,"5_14",2195
3015,"15_19",762
3015,"20_24",891
3015,"25_34",2655
3015,"35_44",3384
3015,"45_54",2521
3015,"55_64",1797
3015,"65_74",939
3015,"75_84",560
3016,"0_4",851
3016,"5_14",2085
3016,"15_19",1074
3016,"20_24",839
3016,"25_34",1403
